model,fps,lut,mac_efficiency,mAP
3w3a_yolov8n_480,30.140817901234566,347261,89.29,0.20043001717885772
3w3a_yolov8n_640,32.552083333333336,363217,92.7,0.2150400680230148
3w3a_yolov8p_480,30.140817901234566,253789,74.56,0.13519722034799828
3w3a_yolov8p_640,32.552083333333336,262046,86.78,0.13791995439992344
3w3a_yolov8s_480,30.140817901234566,904294,96.4,0.305200943433688
3w3a_yolov8s_640,30.517578125,938556,87.55,0.3319988570576293
4w4a_yolov8n_320,32.552083333333336,403987,79.06,XXX
4w4a_yolov8n_480,30.140817901234566,414171,89.29,0.26651964245194404
4w4a_yolov8n_640,32.552083333333336,439866,92.7,0.282537026634248
4w4a_yolov8p_320,32.552083333333336,269103,53.0,XXX
4w4a_yolov8p_480,30.140817901234566,280321,74.56,0.1868179196724316
4w4a_yolov8p_640,32.552083333333336,299262,86.78,0.1982175271450163
4w4a_yolov8s_320,30.517578125,1061140,85.91,XXX
4w4a_yolov8s_480,30.140817901234566,1092435,96.4,0.36217492625583975
4w4a_yolov8s_640,30.517578125,1140943,87.55,0.3862513648468231
8w8a_yolov8n_320,32.552083333333336,969144,79.06,0.23998776847957212
8w8a_yolov8n_480,30.140817901234566,982483,89.29,0.3055437587352145
8w8a_yolov8n_640,32.552083333333336,1018018,92.7,0.33219476452354146
8w8a_yolov8p_320,32.552083333333336,601869,53.0,0.18114563797982738
8w8a_yolov8p_480,30.140817901234566,606609,74.56,0.24469548744310662
8w8a_yolov8p_640,32.552083333333336,628261,86.78,0.2586441198378558
8w8a_yolov8s_320,30.517578125,2495029,85.91,0.3239708004967111
8w8a_yolov8s_480,30.140817901234566,2558144,96.4,0.39988537186848
8w8a_yolov8s_640,30.517578125,2632531,87.55,0.42982684412240335
