model,fps,lut,bram18k,dsp
3w3a_yolov8n_480_30fps_hls,30.140817901234566,129781.0,1033.0,0.0
3w3a_yolov8n_640_30fps_hls,32.552083333333336,145633.0,988.0,0.0
3w3a_yolov8p_480_30fps_hls,30.140817901234566,127518.0,596.0,0.0
3w3a_yolov8p_640_30fps_hls,32.552083333333336,135632.0,622.0,0.0
3w3a_yolov8s_480_30fps_hls,30.140817901234566,214222.0,3034.0,0.0
3w3a_yolov8s_640_30fps_hls,30.517578125,248460.0,2751.0,0.0
4w4a_yolov8n_320_30fps_hls,32.552083333333336,151355.0,1022.0,0.0
4w4a_yolov8n_480_30fps_hls,30.140817901234566,161531.0,1043.0,0.0
4w4a_yolov8n_640_30fps_hls,32.552083333333336,187122.0,1059.0,0.0
4w4a_yolov8p_320_30fps_hls,32.552083333333336,129091.0,592.0,0.0
4w4a_yolov8p_480_30fps_hls,30.140817901234566,140237.0,597.0,0.0
4w4a_yolov8p_640_30fps_hls,32.552083333333336,159022.0,647.0,0.0
4w4a_yolov8s_320_30fps_hls,30.517578125,230436.0,3391.0,0.0
4w4a_yolov8s_480_30fps_hls,30.140817901234566,261723.0,3396.0,0.0
4w4a_yolov8s_640_30fps_hls,30.517578125,310207.0,3315.0,0.0
8w8a_yolov8n_320_30fps_hls,32.552083333333336,575872.0,1569.0,0.0
8w8a_yolov8n_480_30fps_hls,30.140817901234566,589203.0,1597.0,0.0
8w8a_yolov8n_640_30fps_hls,32.552083333333336,624634.0,1641.0,0.0
8w8a_yolov8p_320_30fps_hls,32.552083333333336,406621.0,809.0,0.0
8w8a_yolov8p_480_30fps_hls,30.140817901234566,411273.0,815.0,0.0
8w8a_yolov8p_640_30fps_hls,32.552083333333336,432717.0,878.0,0.0
8w8a_yolov8s_320_30fps_hls,30.517578125,1101765.0,5694.0,0.0
8w8a_yolov8s_480_30fps_hls,30.140817901234566,1164872.0,5486.0,0.0
8w8a_yolov8s_640_30fps_hls,30.517578125,1239235.0,5484.0,0.0
